datetime,cpu
27-01-2017 18:42,1.14
27-01-2017 18:43,1.1
27-01-2017 18:44,1.09
27-01-2017 18:45,1.08
27-01-2017 18:46,1.08
27-01-2017 18:47,1.08
27-01-2017 18:48,1.15
27-01-2017 18:49,1.13
27-01-2017 18:50,1.09
27-01-2017 18:51,1.06
27-01-2017 18:52,1.04
27-01-2017 18:53,1.03
27-01-2017 18:54,1.01
27-01-2017 18:55,1
27-01-2017 18:56,0.99
27-01-2017 18:57,0.98
27-01-2017 18:58,0.97
27-01-2017 18:59,0.95
27-01-2017 19:00,0.93
27-01-2017 19:01,0.92
27-01-2017 19:02,0.9
27-01-2017 19:03,0.88
27-01-2017 19:04,0.88
27-01-2017 19:05,0.87
27-01-2017 19:06,0.85
27-01-2017 19:07,0.89
27-01-2017 19:08,0.86
27-01-2017 19:09,0.84
27-01-2017 19:10,0.81
27-01-2017 19:11,0.79
27-01-2017 19:12,0.78
27-01-2017 19:13,0.76
27-01-2017 19:14,0.74
27-01-2017 19:15,0.72
27-01-2017 19:16,0.71
27-01-2017 19:17,0.71
27-01-2017 19:18,0.69
27-01-2017 19:19,0.68
27-01-2017 19:20,0.67
27-01-2017 19:21,0.65
27-01-2017 19:22,0.65
27-01-2017 19:23,0.64
27-01-2017 19:24,0.64
27-01-2017 19:25,0.64
27-01-2017 19:26,0.67
27-01-2017 19:27,0.65
27-01-2017 19:28,0.7
27-01-2017 19:29,0.66
27-01-2017 19:30,0.63
27-01-2017 19:31,0.61
27-01-2017 19:32,0.61
27-01-2017 19:33,0.64
27-01-2017 19:34,0.62
27-01-2017 19:35,0.62
27-01-2017 19:36,0.6
27-01-2017 19:37,0.57
27-01-2017 19:38,0.57
27-01-2017 19:39,0.58
27-01-2017 19:40,0.58
27-01-2017 19:41,0.67
27-01-2017 19:42,0.64
27-01-2017 19:43,0.62
27-01-2017 19:44,0.62
27-01-2017 19:45,0.6
27-01-2017 19:46,0.6
27-01-2017 19:47,0.64
27-01-2017 19:48,0.65
27-01-2017 19:49,0.65
27-01-2017 19:50,0.68
27-01-2017 19:51,0.68
27-01-2017 19:52,0.76
27-01-2017 19:53,0.76
27-01-2017 19:54,0.77
27-01-2017 19:55,0.78
27-01-2017 19:56,0.84
27-01-2017 19:57,0.85
27-01-2017 19:58,0.96
27-01-2017 19:59,0.97
27-01-2017 20:00,0.96
27-01-2017 20:01,0.99
27-01-2017 20:02,1.11
27-01-2017 20:03,1.22
27-01-2017 20:04,1.17
27-01-2017 20:05,1.16
27-01-2017 20:06,1.66
27-01-2017 20:07,1.6
27-01-2017 20:08,1.68
27-01-2017 20:09,2.03
27-01-2017 20:10,2.02
27-01-2017 20:11,1.79
27-01-2017 20:12,1.65
27-01-2017 20:13,1.52
27-01-2017 20:14,1.47
27-01-2017 20:15,1.74
27-01-2017 20:16,1.64
27-01-2017 20:17,1.86
27-01-2017 20:18,1.96
27-01-2017 20:19,2.11
27-01-2017 20:20,2.2
27-01-2017 20:21,2.27
27-01-2017 20:22,1.93
27-01-2017 20:23,1.73
27-01-2017 20:24,1.88
27-01-2017 20:25,1.75
27-01-2017 20:26,1.58
27-01-2017 20:27,1.57
27-01-2017 20:28,1.79
27-01-2017 20:29,1.69
27-01-2017 20:30,1.56
27-01-2017 20:31,1.47
27-01-2017 20:32,1.4
27-01-2017 20:33,1.38
27-01-2017 20:34,1.45
27-01-2017 20:35,1.37
27-01-2017 20:36,1.68
27-01-2017 20:37,1.54
27-01-2017 20:38,1.47
27-01-2017 20:39,1.39
27-01-2017 20:40,1.32
27-01-2017 20:41,1.72
27-01-2017 20:42,1.56
27-01-2017 20:43,1.42
27-01-2017 20:44,1.41
27-01-2017 20:45,1.32
27-01-2017 20:46,1.27
27-01-2017 20:47,1.24
27-01-2017 20:48,1.2
27-01-2017 20:49,1.18
27-01-2017 20:50,1.15
27-01-2017 20:51,1.14
27-01-2017 20:52,1.17
27-01-2017 20:53,1.15
27-01-2017 20:54,1.12
27-01-2017 20:55,1.11
27-01-2017 20:56,1.44
27-01-2017 20:57,1.73
27-01-2017 20:58,1.53
27-01-2017 20:59,1.37
27-01-2017 21:00,1.33
27-01-2017 21:01,1.23
27-01-2017 21:02,1.19
27-01-2017 21:03,1.16
27-01-2017 21:04,1.14
27-01-2017 21:05,1.11
27-01-2017 21:06,1.07
27-01-2017 21:07,1.05
27-01-2017 21:08,1.1
27-01-2017 21:09,1.08
27-01-2017 21:10,1.05
27-01-2017 21:11,1.12
27-01-2017 21:12,1.19
27-01-2017 21:13,1.13
27-01-2017 21:14,1.08
